INS,COMMUNE,LAT,LONG,CODPOSS
13053,LAAKDAL,51.06666667,5.016666667,2430
42010,LAARNE,51.01666667,3.85,9270
73042,LANAKEN,50.88333333,5.65,3620
24059,LANDEN,50.75,5.066666667,3400
33040,LANGEMARK-POELKAPELLE,50.9,2.916666667,8920
25119,LASNE,50.68333333,4.483333333,1380
55035,LE ROEULX,50.5,4.1,7070
42011,LEBBEKE,51,4.116666667,9280
41034,LEDE,50.96666667,3.966666667,9340
36010,LEDEGEM,50.85,3.116666667,8880
84033,LEGLISE,49.8,5.533333333,6860
34025,LENDELEDE,50.88333333,3.233333333,8860
23104,LENNIK,50.8,4.15,1750
53046,LENS,50.55,3.9,7870
71034,LEOPOLDSBURG,51.11666667,5.25,3970
52075,LES BONS VILLERS,50.53333333,4.433333333,6210
55023,LESSINES,50.7,3.816666667,7860
24062,LEUVEN,50.86666667,4.7,3000
57094,LEUZE-EN-HAINAUT,50.6,3.616666667,7900
84035,LIBIN,49.96666667,5.25,6890
84077,LIBRAMONT-CHEVIGNY,49.91666667,5.366666667,6800
36011,LICHTERVELDE,51.01666667,3.133333333,8810
23044,LIEDEKERKE,50.86666667,4.083333333,1770
62063,LIEGE,50.63333333,5.566666667,4000
12021,LIER,51.11666667,4.566666667,2500
45063,LIERDE,50.81666667,3.833333333,9570
63045,LIERNEUX,50.28333333,5.783333333,4990
13019,LILLE,51.23333333,4.816666667,2275
63046,LIMBOURG,50.61666667,5.933333333,4830
64047,LINCENT,50.7,5.016666667,4287
23100,LINKEBEEK,50.76666667,4.333333333,1630
11025,LINT,51.11666667,4.483333333,2547
24133,LINTER,50.83333333,5.033333333,3350
32030,LO-RENINGE,50.96666667,2.75,8647
56044,LOBBES,50.33333333,4.266666667,6540
44034,LOCHRISTI,51.08333333,3.833333333,9080
46014,LOKEREN,51.1,3.983333333,9160
72020,LOMMEL,51.21666667,5.3,3920
23045,LONDERZEEL,51,4.3,1840
63048,LONTZEN,50.66666667,6,4710
44036,LOVENDEGEM,51.08333333,3.6,9920
24066,LUBBEEK,50.86666667,4.833333333,3210
71037,LUMMEN,50.98333333,5.183333333,3560
45064,MAARKEDAL,50.81666667,3.65,9680
72021,MAASEIK,51.08333333,5.783333333,3680
73107,MAASMECHELEN,50.96666667,5.683333333,3630
23047,MACHELEN,50.9,4.433333333,1830
43010,MALDEGEM,51.2,3.433333333,9990
11057,MALLE,51.28333333,4.683333333,2390
63049,MALMEDY,50.41666667,6.016666667,4960
52043,MANAGE,50.5,4.233333333,7170
83055,MANHAY,50.28333333,5.666666667,6960
83034,MARCHE-EN-FAMENNE,50.21666667,5.333333333,6900
61039,MARCHIN,50.45,5.233333333,4570
81013,MARTELANGE,49.81666667,5.733333333,6630
12025,MECHELEN,51.01666667,4.466666667,2800
13021,MEERHOUT,51.11666667,5.066666667,2450
72040,MEEUWEN-GRUITRODE,51.08333333,5.516666667,3670
23050,MEISE,50.93333333,4.316666667,1860
85024,MEIX-DEVANT-VIRTON,49.6,5.466666667,6769
44040,MELLE,51,3.8,9090
34027,MENEN,50.78333333,3.116666667,8930
56049,MERBES-LE-CHATEAU,50.31666667,4.15,6567
23052,MERCHTEM,50.95,4.233333333,1785
44043,MERELBEKE,50.98333333,3.733333333,9820
13023,MERKSPLAS,51.35,4.85,2330
33016,MESEN,50.75,2.9,8957
81015,MESSANCY,49.58333333,5.816666667,6780
92087,METTET,50.31666667,4.65,5640
37007,MEULEBEKE,50.95,3.283333333,8760
35011,MIDDELKERKE,51.18333333,2.816666667,8430
61041,MODAVE,50.43333333,5.3,4577
44045,MOERBEKE,51.16666667,3.933333333,9180
13025,MOL,51.18333333,5.116666667,2400
56051,MOMIGNIES,50.01666667,4.166666667,6590
53053,MONS,50.45,3.933333333,7000
57095,MONT-DE-L'ENCLUS,50.73333333,3.5,7750
25068,MONT-SAINT-GUIBERT,50.63333333,4.6,1435
52048,MONTIGNY-LE-TILLEUL,50.36666667,4.366666667,6110
36012,MOORSLEDE,50.88333333,3.05,8890
56087,MORLANWELZ,50.45,4.233333333,7140
11029,MORTSEL,51.15,4.45,2640
54007,MOUSCRON,50.73333333,3.2,7700
85026,MUSSON,49.55,5.7,6750
92094,NAMUR,50.45,4.85,5000
61043,NANDRIN,51,5.416666667,4550
83040,NASSOGNE,50.11666667,5.333333333,6950
44048,NAZARETH,50.95,3.583333333,9810
72025,NEERPELT,51.21666667,5.433333333,3910
84043,NEUFCHATEAU,49.83333333,5.433333333,6840
62121,NEUPRE,50.53333333,5.483333333,4120
44049,NEVELE,51.03333333,3.55,9850
11030,NIEL,51.1,4.316666667,2845
71045,NIEUWERKERKEN,50.85,5.183333333,3850
38016,NIEUWPOORT,51.11666667,2.75,8620
12026,NIJLEN,51.15,4.666666667,2560
41048,NINOVE,50.83333333,4.016666667,9400
25072,NIVELLES,50.58333333,4.316666667,1400
92097,OHEY,50.43333333,5.116666667,5350
13029,OLEN,51.13333333,4.85,2250
63057,OLNE,50.58333333,5.75,4877
91103,ONHAYE,50.23333333,4.833333333,5520
35013,OOSTENDE,51.21666667,2.9,8400
44052,OOSTERZELE,50.93333333,3.8,9860
31022,OOSTKAMP,51.15,3.233333333,8020
37010,OOSTROZEBEKE,50.91666667,3.333333333,8780
71047,OPGLABBEEK,51.03333333,5.583333333,3660
23060,OPWIJK,50.96666667,4.183333333,1745
64056,OREYE,50.71666667,5.35,4360
25120,ORP-JAUCHE,50.7,4.983333333,1350
25121,OTTIGNIES-LOUVAIN-LA-NEUVE,50.66666667,4.566666667,1340
24086,OUD-HEVERLEE,50.83333333,4.65,3050
13031,OUD-TURNHOUT,51.31666667,4.966666667,2360
45035,OUDENAARDE,50.83333333,3.6,9700
35014,OUDENBURG,51.18333333,3,8460
21002,OUDERGEM,50.81666667,4.416666667,1160
61048,OUFFET,50.43333333,5.466666667,4590
62079,OUPEYE,50.7,5.65,4680
23062,OVERIJSE,50.76666667,4.533333333,3090
72029,OVERPELT,51.2,5.416666667,3900
84050,PALISEUL,49.9,5.133333333,6850
57062,PECQ,50.68333333,3.333333333,7740
72030,PEER,51.13333333,5.45,3990
23064,PEPINGEN,50.75,4.15,1670
63058,PEPINSTER,50.56666667,5.8,4860
57064,PERUWELZ,50.5,3.583333333,7600
25084,PERWEZ,50.61666667,4.8,1360
93056,PHILIPPEVILLE,50.18333333,4.533333333,5600
37011,PITTEM,50.98333333,3.266666667,8740
63088,PLOMBIERES,50.73333333,5.95,4850
52055,PONT-A-CELLES,50.5,4.35,6230
33021,POPERINGE,50.85,2.716666667,8970
92101,PROFONDEVILLE,50.36666667,4.866666667,5170
12029,PUTTE,51.05,4.616666667,2580
12030,PUURS,51.06666667,4.266666667,2870
53065,QUAREGNON,50.43333333,3.866666667,7390
53084,QUEVY,50.35,3.933333333,7040
53068,QUIEVRAIN,50.4,3.666666667,7380
63061,RAEREN,50.66666667,6.116666667,4730
25122,RAMILLIES,50.63333333,4.9,1367
11035,RANST,51.18333333,4.55,2520
13035,RAVELS,51.36666667,4.983333333,2380
25123,REBECQ,50.65,4.133333333,1430
64063,REMICOURT,50.66666667,5.316666667,4350
83044,RENDEUX,50.23333333,5.5,6987
13036,RETIE,51.26666667,5.083333333,2470
73066,RIEMST,50.8,5.6,3770
13037,RIJKEVORSEL,51.33333333,4.75,2310
25091,RIXENSART,50.7,4.516666667,1330
91114,ROCHEFORT,50.15,5.216666667,5580
36015,ROESELARE,50.93333333,3.116666667,8800
45041,RONSE,50.73333333,3.6,9600
23097,ROOSDAAL,50.83333333,4.066666667,1760
24094,ROTSELAAR,51,4.7,3110
85047,ROUVROY,50,5.483333333,6767
37012,RUISELEDE,51.03333333,3.383333333,8755
57072,RUMES,50.55,3.3,7610
11037,RUMST,51.06666667,4.416666667,2840
64065,SAINT-GEORGES-SUR-MEUSE,50.6,5.35,4470
53070,SAINT-GHISLAIN,50.43333333,3.816666667,7330
84059,SAINT-HUBERT,50.01666667,5.366666667,6870
85034,SAINT-LEGER,49.6,5.65,6747
62093,SAINT-NICOLAS,50.63333333,5.533333333,4420
82038,SAINTE-ODE,50.01666667,5.516666667,6680
92137,SAMBREVILLE,50.43333333,4.633333333,5060
63067,SANKT VITH,50.26666667,6.116666667,4780
21015,SCHAARBEEK,50.85,4.383333333,1030
11038,SCHELLE,51.11666667,4.333333333,2627
24134,SCHERPENHEUVEL-ZICHEM,50.96666667,4.966666667,3270
11039,SCHILDE,51.23333333,4.583333333,2970
11040,SCHOTEN,51.25,4.5,2900
52063,SENEFFE,50.51666667,4.25,7180
62096,SERAING,50.6,5.5,4100
55039,SILLY,50.63333333,3.916666667,7830
21003,SINT-AGATHA-BERCHEM,50.85,4.283333333,1082
12034,SINT-AMANDS,51.05,4.2,2890
23101,SINT-GENESIUS-RODE,50.73333333,4.35,1640
21013,SINT-GILLIS,50.81666667,4.333333333,1060
46020,SINT-GILLIS-WAAS,51.21666667,4.116666667,9170
21012,SINT-JANS-MOLENBEEK,50.85,4.316666667,1080
21014,SINT-JOOST-TEN-NODE,50.85,4.366666667,1210
12035,SINT-KATELIJNE-WAVER,51.06666667,4.533333333,2860
21018,SINT-LAMBRECHTS-WOLUWE,50.85,4.416666667,1200
43014,SINT-LAUREINS,51.23333333,3.516666667,9980
41063,SINT-LIEVENS-HOUTEM,50.91666667,3.85,9520
44064,SINT-MARTENS-LATEM,51.01666667,3.633333333,9830
46021,SINT-NIKLAAS,51.15,4.133333333,9100
23077,SINT-PIETERS-LEEUW,50.76666667,4.233333333,1600
21019,SINT-PIETERS-WOLUWE,50.81666667,4.45,1150
71053,SINT-TRUIDEN,50.8,5.183333333,3800
56088,SIVRY-RANCE,50.16666667,4.166666667,6470
55040,SOIGNIES,50.56666667,4.066666667,7060
92114,SOMBREFFE,50.51666667,4.6,5140
91120,SOMME-LEUZE,50.33333333,5.366666667,5377
62099,SOUMAGNE,50.6,5.733333333,4630
63072,SPA,50.48333333,5.866666667,4900
34043,SPIERE-HELKIJN,50.71666667,3.35,8587
62100,SPRIMONT,50.5,5.65,4140
11044,STABROEK,51.31666667,4.35,2940
36019,STADEN,50.96666667,3,8840
63073,STAVELOT,50.38333333,5.916666667,4970
23081,STEENOKKERZEEL,50.9,4.5,1820
46024,STEKENE,51.2,4.033333333,9190
63075,STOUMONT,50.4,5.8,4987
84068,TELLIN,50.06666667,5.216666667,6927
46025,TEMSE,51.11666667,4.2,9140
83049,TENNEVILLE,50.08333333,5.516666667,6970
23086,TERNAT,50.86666667,4.166666667,1740
24104,TERVUREN,50.81666667,4.5,3080
71057,TESSENDERLO,51.06666667,5.083333333,3980
63076,THEUX,50.53333333,5.8,4910
63089,THIMISTER-CLERMONT,50.65,5.85,4890
56078,THUIN,50.33333333,4.283333333,6530
37015,TIELT,51,3.316666667,8700
24135,TIELT-WINGE,50.93333333,4.9,3390
24107,TIENEN,50.8,4.933333333,3300
61081,TINLOT,50.46666667,5.366666667,4557
85039,TINTIGNY,49.68333333,5.5,6730
73083,TONGEREN,50.76666667,5.45,3700
31033,TORHOUT,51.05,3.1,8820
57081,TOURNAI,50.6,3.383333333,7500
24109,TREMELO,50.98333333,4.7,3120
63086,TROIS-PONTS,50.36666667,5.866666667,4980
62122,TROOZ,50.56666667,5.683333333,4870
25105,TUBIZE,50.68333333,4.2,1480
13040,TURNHOUT,51.31666667,4.933333333,2300
21016,UKKEL,50.8,4.333333333,1180
82036,VAUX-SUR-SURE,49.9,5.566666667,6640
61063,VERLAINE,50.6,5.316666667,4537
63079,VERVIERS,50.58333333,5.85,4800
38025,VEURNE,51.06666667,2.65,8630
82032,VIELSALM,50.28333333,5.9,6690
25107,VILLERS-LA-VILLE,50.56666667,4.516666667,1495
61068,VILLERS-LE-BOUILLET,50.56666667,5.25,4530
23088,VILVOORDE,50.91666667,4.416666667,1800
93090,VIROINVAL,50.06666667,4.533333333,5670
85045,VIRTON,49.56666667,5.533333333,6760
62108,VISE,50.73333333,5.683333333,4600
33041,VLETEREN,50.93333333,2.733333333,8640
73109,VOEREN,50.75,5.75,3790
13044,VORSELAAR,51.2,4.766666667,2290
21007,VORST,50.8,4.316666667,1190
13046,VOSSELAAR,51.3,4.883333333,2350
91143,VRESSE-SUR-SEMOIS,49.86666667,4.933333333,5550
44072,WAARSCHOOT,51.15,3.6,9950
42023,WAASMUNSTER,51.1,4.083333333,9250
44073,WACHTEBEKE,51.16666667,3.85,9185
63080,WAIMES,50.4,6.1,4950
93088,WALCOURT,50.25,4.416666667,5650
25124,WALHAIN,50.61666667,4.683333333,1457
61072,WANZE,50.53333333,5.2,4520
34040,WAREGEM,50.88333333,3.433333333,8790
64074,WAREMME,50.68333333,5.25,4300
64075,WASSEIGES,50.61666667,5,4219
25110,WATERLOO,50.71666667,4.383333333,1410
21017,WATERMAAL-BOSVOORDE,50.8,4.4,1170
25112,WAVRE,50.71666667,4.6,1300
63084,WELKENRAEDT,50.65,5.966666667,4840
73098,WELLEN,50.83333333,5.333333333,3830
84075,WELLIN,50.08333333,5.1,6920
23102,WEMMEL,50.9,4.3,1780
33029,WERVIK,50.76666667,3.033333333,8940
13049,WESTERLO,51.08333333,4.916666667,2260
42025,WETTEREN,51,3.883333333,9230
34041,WEVELGEM,50.8,3.183333333,8560
23103,WEZEMBEEK-OPPEM,50.83333333,4.483333333,1970
42026,WICHELEN,51,3.966666667,9260
37017,WIELSBEKE,50.9,3.366666667,8710
11050,WIJNEGEM,51.21666667,4.516666667,2110
12040,WILLEBROEK,51.05,4.35,2830
37018,WINGENE,51.05,3.266666667,8750
11052,WOMMELGEM,51.2,4.516666667,2160
45061,WORTEGEM-PETEGEM,50.83333333,3.55,9790
11053,WUUSTWEZEL,51.38333333,4.583333333,2990
91141,YVOIR,50.31666667,4.866666667,5530
11054,ZANDHOVEN,51.2,4.65,2240
23094,ZAVENTEM,50.88333333,4.466666667,1930
31040,ZEDELGEM,51.13333333,3.133333333,8210
42028,ZELE,51.06666667,4.033333333,9240
43018,ZELZATE,51.2,3.8,9060
23096,ZEMST,50.98333333,4.45,1980
45057,ZINGEM,50.9,3.65,9750
11055,ZOERSEL,51.26666667,4.7,2980
44080,ZOMERGEM,51.11666667,3.55,9930
71066,ZONHOVEN,50.98333333,5.366666667,3520
33037,ZONNEBEKE,50.86666667,2.983333333,8980
41081,ZOTTEGEM,50.86666667,3.8,9620
24130,ZOUTLEEUW,50.83333333,5.1,3440
31042,ZUIENKERKE,51.25,3.15,8377
44081,ZULTE,50.91666667,3.433333333,9870
71067,ZUTENDAAL,50.91666667,5.566666667,3690
45065,ZWALM,50.86666667,3.733333333,9630
34042,ZWEVEGEM,50.8,3.333333333,8550
11056,ZWIJNDRECHT,51.21666667,4.316666667,2070
